time,AAPL_Close,MSFT_Close,AMZN_Close,FB_Close,GOOGL_Close
2020-06-03 00:00:00-04:00,325.09,185.36,2478.4,230.06,1439.25
2020-06-04 00:00:00-04:00,322.25,182.95,2460.6,226.29,1414.82
2020-06-05 00:00:00-04:00,331.54,187.5,2481.415,230.78,1440.75
2020-06-08 00:00:00-04:00,333.4402,188.47,2522.8,231.42,1448.47
2020-06-09 00:00:00-04:00,344.32,190.07,2603.39,238.69,1452.07
2020-06-10 00:00:00-04:00,352.78,196.82,2648.16,236.68,1464.98
2020-06-11 00:00:00-04:00,336.08,186.47,2558.47,224.45,1401.02
2020-06-12 00:00:00-04:00,337.655,188.14,2566.705,227.3401,1407.49
2020-06-15 00:00:00-04:00,342.99,189.09,2572.62,232.47,1420.75
2020-06-16 00:00:00-04:00,352.26,193.67,2615.13,235.81,1446.64
2020-06-17 00:00:00-04:00,351.2438,194.2,2641.72,235.53,1452.7
2020-06-18 00:00:00-04:00,351.59,196.32,2655.0,235.975,1433.621
2020-06-19 00:00:00-04:00,349.55,195.03,2671.86,238.65,1426.98
2020-06-22 00:00:00-04:00,358.93,200.58,2712.0,239.3,1450.44
2020-06-23 00:00:00-04:00,366.37,201.889,2764.42,242.14,1464.18
2020-06-24 00:00:00-04:00,360.06,197.84,2733.49,234.08,1432.17
2020-06-25 00:00:00-04:00,364.88,200.36,2756.16,235.47,1441.15
2020-06-26 00:00:00-04:00,353.69,196.33,2692.87,215.86,1362.14
2020-06-29 00:00:00-04:00,362.0,198.5,2681.52,220.71,1398.0
2020-06-30 00:00:00-04:00,364.6,203.5,2756.09,227.05,1417.92
2020-07-01 00:00:00-04:00,364.01,204.66,2879.2,237.53,1442.6
2020-07-02 00:00:00-04:00,364.12,206.21,2887.56,233.46,1469.8
2020-07-06 00:00:00-04:00,373.81,210.69,3057.16,240.3,1499.66
2020-07-07 00:00:00-04:00,372.64,208.24,3000.12,240.86,1489.92
2020-07-08 00:00:00-04:00,381.44,212.84,3081.88,243.57,1503.155
2020-07-09 00:00:00-04:00,382.6599,214.4,3183.81,244.46,1518.38
2020-07-10 00:00:00-04:00,383.52,213.65,3203.36,245.06,1538.81
2020-07-13 00:00:00-04:00,381.91,207.1,3101.55,239.02,1513.17
2020-07-14 00:00:00-04:00,388.21,208.39,3084.02,239.73,1522.12
2020-07-15 00:00:00-04:00,390.91,208.05,3008.87,240.29,1516.88
2020-07-16 00:00:00-04:00,386.23,203.92,2997.82,240.95,1515.16
2020-07-17 00:00:00-04:00,385.15,202.87,2961.47,241.98,1515.6
2020-07-20 00:00:00-04:00,393.43,211.49,3195.01,245.42,1563.41
2020-07-21 00:00:00-04:00,388.0,208.75,3141.43,241.76,1555.99
2020-07-22 00:00:00-04:00,389.09,211.7533,3100.23,239.8027,1565.5
2020-07-23 00:00:00-04:00,371.56,202.6,2987.725,232.61,1518.0
2020-07-24 00:00:00-04:00,370.42,201.3,3008.92,230.82,1508.81
2020-07-27 00:00:00-04:00,379.215,203.85,3053.89,233.5,1529.46
2020-07-28 00:00:00-04:00,373.04,201.74,2999.62,230.1,1504.6
2020-07-29 00:00:00-04:00,380.27,204.06,3034.27,233.27,1523.28
2020-07-30 00:00:00-04:00,384.88,203.89,3052.65,234.6,1537.91
2020-07-31 00:00:00-04:00,425.19,205.1,3164.68,253.71,1488.79
2020-08-03 00:00:00-04:00,435.66,216.54,3111.42,251.84,1482.9
2020-08-04 00:00:00-04:00,438.81,213.35,3138.82,249.83,1472.58
2020-08-05 00:00:00-04:00,440.339,212.95,3205.83,249.13,1479.67
2020-08-06 00:00:00-04:00,455.88,216.35,3224.35,265.28,1504.94
2020-08-07 00:00:00-04:00,444.41,212.44,3165.75,268.5,1497.85
2020-08-10 00:00:00-04:00,450.94,208.33,3149.87,263.0,1496.82
2020-08-11 00:00:00-04:00,437.51,203.33,3080.67,256.11,1480.86
2020-08-12 00:00:00-04:00,452.24,209.29,3161.0,259.82,1506.24
2020-08-13 00:00:00-04:00,460.03,208.72,3161.02,,1517.05
2020-08-14 00:00:00-04:00,459.78,208.89,3148.0,261.24,1504.63
2020-08-17 00:00:00-04:00,458.39,210.2492,3181.16,261.23,1515.14
2020-08-18 00:00:00-04:00,462.08,211.48,3312.49,262.33,1555.79
2020-08-19 00:00:00-04:00,462.825,209.7,3260.15,262.72,1545.03
2020-08-20 00:00:00-04:00,472.83,214.55,3296.05,269.01,1575.73
2020-08-21 00:00:00-04:00,497.4,213.02,3284.59,267.01,1576.19
2020-08-24 00:00:00-04:00,503.79,213.71,3307.45,271.43,1585.15
2020-08-25 00:00:00-04:00,499.31,216.4564,3346.05,280.82,1605.85
2020-08-26 00:00:00-04:00,506.19,221.15,3442.06,303.91,1644.28
2020-08-27 00:00:00-04:00,500.04,226.57,3400.7,293.17,1628.53
2020-08-28 00:00:00-04:00,498.83,228.94,3401.8,293.67,1640.12
2020-08-31 00:00:00-04:00,128.85,225.06,3441.91,293.0901,1627.0
2020-09-01 00:00:00-04:00,134.2,227.32,3500.47,295.5,1656.48
2020-09-02 00:00:00-04:00,131.22,231.46,3529.34,302.5,1719.15
2020-09-03 00:00:00-04:00,120.92,217.3,3369.17,291.12,1630.18
2020-09-04 00:00:00-04:00,120.9,214.14,3294.62,282.625,1581.21
2020-09-08 00:00:00-04:00,112.83,202.65,3149.84,270.93,1523.9
2020-09-09 00:00:00-04:00,117.18,211.18,3268.27,273.7,1545.47
2020-09-10 00:00:00-04:00,113.48,205.38,3176.12,268.0259,1525.77
2020-09-11 00:00:00-04:00,112.01,204.04,3117.28,266.6,1514.97
2020-09-14 00:00:00-04:00,115.3599,205.3,3102.97,266.14,1510.26
2020-09-15 00:00:00-04:00,115.55,208.85,3153.28,272.46,1535.18
2020-09-16 00:00:00-04:00,112.13,204.94,3077.14,263.6,1512.09
2020-09-17 00:00:00-04:00,110.32,202.96,3010.56,254.87,1487.78
2020-09-18 00:00:00-04:00,106.6,200.45,2952.64,252.29,1451.09
2020-09-21 00:00:00-04:00,110.13,202.64,2962.0,248.04,1430.88
2020-09-22 00:00:00-04:00,111.8,207.38,3129.0,254.73,1459.83
2020-09-23 00:00:00-04:00,107.23,200.59,2997.44,249.02,1410.0
2020-09-24 00:00:00-04:00,108.2015,203.18,3018.58,249.52,1422.88
2020-09-25 00:00:00-04:00,112.28,207.77,3094.65,254.82,1439.05
2020-09-28 00:00:00-04:00,115.0,209.61,3175.04,256.91,1459.7
2020-09-29 00:00:00-04:00,114.11,207.16,3142.92,261.79,1466.02
2020-09-30 00:00:00-04:00,115.61,210.32,3147.425,261.8,1465.6
2020-10-01 00:00:00-04:00,116.8,212.46,3222.01,266.63,1487.95
2020-10-02 00:00:00-04:00,113.02,206.18,3125.93,259.91,1454.56
2020-10-05 00:00:00-04:00,116.54,210.37,3199.2,264.65,1482.38
2020-10-06 00:00:00-04:00,113.16,205.91,3099.29,258.53,1449.62
2020-10-07 00:00:00-04:00,115.05,209.81,3192.51,258.01,1459.31
2020-10-08 00:00:00-04:00,114.97,210.63,3190.55,263.7051,1484.55
2020-10-09 00:00:00-04:00,116.98,215.81,3287.82,264.49,1510.45
2020-10-12 00:00:00-04:00,124.42,221.41,3442.93,275.75,1564.84
2020-10-13 00:00:00-04:00,121.05,222.83,3442.64,276.06,1567.08
2020-10-14 00:00:00-04:00,121.29,220.93,3363.05,271.73,1563.72
2020-10-15 00:00:00-04:00,120.7453,219.66,3338.62,266.72,1555.18
2020-10-16 00:00:00-04:00,118.96,219.65,3160.0,265.93,1568.13
2020-10-19 00:00:00-04:00,116.0,214.24,3207.3,261.53,1530.47
2020-10-20 00:00:00-04:00,117.5,214.56,3216.26,267.58,1551.08
2020-10-21 00:00:00-04:00,116.86,214.785,3183.6,278.7,1585.99
2020-10-22 00:00:00-04:00,115.7737,214.84,3177.4,278.12,1607.79
2020-10-23 00:00:00-04:00,115.04,216.26,3204.64,284.83,1632.515
2020-10-26 00:00:00-04:00,115.06,210.15,3207.32,277.12,1584.32
2020-10-27 00:00:00-04:00,116.53,213.15,3287.92,283.29,1599.17
2020-10-28 00:00:00-04:00,111.15,202.71,3162.49,267.55,1510.44
2020-10-29 00:00:00-04:00,114.52,204.39,3212.79,279.82,1555.19
2020-10-30 00:00:00-04:00,108.9,202.58,3036.13,263.75,1616.26
2021-03-24 00:00:00-04:00,120.07,235.46,3087.17,282.14,2033.23
2021-03-25 00:00:00-04:00,120.63,232.32,3046.26,278.74,2032.45
2021-03-26 00:00:00-04:00,121.21,236.48,3053.14,283.0,2025.48
2021-03-29 00:00:00-04:00,121.39,235.27,3076.76,290.89,2046.29
2021-03-30 00:00:00-04:00,119.88,232.26,3054.7,287.94,2046.71
2021-03-31 00:00:00-04:00,122.18,235.92,3095.65,294.64,2063.21
2021-04-01 00:00:00-04:00,123.0,242.39,3161.55,298.7,2129.97
2021-04-05 00:00:00-04:00,125.9001,249.07,3225.26,308.91,2219.06
2021-04-06 00:00:00-04:00,126.23,247.87,3223.99,306.27,2210.16
2021-04-07 00:00:00-04:00,127.91,249.89,3279.39,313.15,2238.74
2021-04-08 00:00:00-04:00,130.37,253.26,3299.99,313.02,2250.62
2021-04-09 00:00:00-04:00,133.0,255.83,3372.09,312.47,2270.67
2021-04-12 00:00:00-04:00,131.26,255.96,3379.39,311.55,2245.23
